"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"Unique link clicks","Website purchases",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-04-24,2026-05-24,"Test - ADS 5",not_delivering,308,actions:link_click,0.19899351,50,Daily,61.29,7546,3488,2.163417,252,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 12",not_delivering,188,actions:link_click,0.17601064,50,Daily,33.09,4547,3593,1.265516,181,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,Average,"Above average","Above average","Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 10",not_delivering,76,actions:link_click,0.0925,65,Daily,7.03,973,869,1.119678,65,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 19",not_delivering,6212,actions:link_click,0.12271088,65,Daily,762.28,94388,49328,1.913477,5056,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,Average,"Above average","Above average","Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"NEW Reel 2026 Roseville, MN",not_delivering,4197,actions:link_click,0.19140815,50,Daily,803.34,105737,54935,1.924766,3864,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,Average,"Above average","Above average","NEW Reel 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 10",not_delivering,78,actions:link_click,0.18987179,50,Daily,14.81,1964,1454,1.350757,72,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,Average,"Above average","Above average","Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 11",not_delivering,409,actions:link_click,0.25381418,50,Daily,103.81,16759,9850,1.701421,374,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,Average,"Above average","Above average","Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - Ads 9",not_delivering,3139,actions:link_click,0.18615483,50,Daily,584.34,94762,37836,2.504546,2767,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,Average,"Above average","Above average","Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 5",not_delivering,659,actions:link_click,0.14358118,65,Daily,94.62,10958,5711,1.918753,548,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,"Below average - Bottom 35% of ads","Above average","Above average","Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 12",not_delivering,711,actions:link_click,0.115218,65,Daily,81.92,9652,8087,1.19352,664,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,Average,"Above average","Above average","Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 1",not_delivering,10,actions:link_click,0.434,50,Daily,4.34,772,627,1.23126,10,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 1",not_delivering,295,actions:link_click,0.16383051,65,Daily,48.33,5914,4108,1.43963,261,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,Average,"Above average","Above average","Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 11",not_delivering,56,actions:link_click,0.17339286,65,Daily,9.71,1160,977,1.187308,51,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,Average,"Above average","Above average","Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - Ads 9",not_delivering,253,actions:link_click,0.19841897,50,Daily,50.2,9279,7550,1.229007,242,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:35:09-0700,Average,"Above average","Above average","Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 11",not_delivering,75,actions:link_click,0.24266667,50,Daily,18.2,2816,2504,1.124601,71,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:35:09-0700,-,-,-,"Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 5",not_delivering,1705,actions:link_click,0.23987683,50,Daily,408.99,70404,32107,2.192793,1480,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:35:09-0700,Average,"Above average","Above average","Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 10",not_delivering,159,actions:link_click,0.20044025,50,Daily,31.87,5201,3946,1.318044,152,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:35:09-0700,Average,"Above average","Above average","Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 12",not_delivering,357,actions:link_click,0.16196078,65,Daily,57.82,7720,6727,1.147614,335,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:33:42-0700,Average,"Above average","Above average","Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 5",not_delivering,3390,actions:link_click,0.15628909,65,Daily,529.82,70771,38682,1.829559,2759,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:33:42-0700,Average,"Above average","Above average","Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 10",not_delivering,322,actions:link_click,0.16403727,65,Daily,52.82,8283,6884,1.203225,305,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:33:42-0700,Average,"Above average","Above average","Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 19",not_delivering,265,actions:link_click,0.14177358,65,Daily,37.57,5698,5060,1.126087,254,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:33:42-0700,Average,"Above average","Above average","Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 1",not_delivering,38,actions:link_click,0.22710526,50,Daily,8.63,1503,1286,1.16874,38,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:35:09-0700,-,-,-,"Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 12",not_delivering,80,actions:link_click,0.215875,50,Daily,17.27,2585,2241,1.153503,77,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:35:09-0700,Average,"Above average","Above average","Traffic Spanish 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 11",not_delivering,55,actions:link_click,0.19872727,65,Daily,10.93,1365,1271,1.073958,52,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:33:42-0700,-,-,-,"Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"Test - ADS 1",not_delivering,48,actions:link_click,0.13645833,65,Daily,6.55,978,900,1.086667,47,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:33:42-0700,-,-,-,"Traffic English 2026 Roseville, MN"
2026-04-24,2026-05-24,"NEW Reel 2026 Roseville, MN",not_delivering,2212,actions:link_click,0.24097197,50,Daily,533.03,93788,51643,1.816084,1923,,2026-05-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-12T07:51:56-0700,Average,"Above average","Above average","NEW Reel 2026 Roseville, MN"
